city_name,country_code,rand_lat,rand_lng,Latitude,Longitude,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
erzin,ru,48.10000000007065,96.05999999974892,50.26,95.16,10.34,67,56,8.79
pisco,pe,-25.19999999996685,-97.7500000000748,-13.71,-76.2,71.6,30,40,8.05
hobyo,so,1.6800000000469026,53.05999999978803,5.35,48.53,78.92,87,0,11.21
cape town,za,-58.069999999983665,-16.940000000148302,-33.93,18.42,69.66,94,75,13.87
narsaq,gl,77.44000000008566,-61.6900000001076,60.91,-46.05,30.2,86,75,4.7
pevek,ru,87.4800000000908,170.1999999996815,69.7,170.27,-4.25,77,64,26.31
tricase,it,39.36000000006618,18.4599999998195,39.93,18.36,56.89,87,40,11.41
bluff,nz,-67.78999999998864,154.41999999969585,-46.6,168.33,55.99,96,76,13.49
hobart,au,-58.149999999983706,152.65999999969745,-42.88,147.33,51.62,93,40,2.24
dikson,ru,78.22000000008606,71.06999999977165,73.51,80.55,20.96,92,80,21.77
chuy,uy,-69.38999999998946,-17.990000000147347,-33.69,-53.46,77.12,92,100,5.95
souillac,mu,-28.999999999968793,62.07999999977983,-20.52,57.52,82.2,78,40,8.05
saint-ambroise,ca,49.170000000071184,-71.11000000009903,48.56,-71.32,13.64,61,75,14.99
busselton,au,-52.809999999980974,82.79999999976098,-33.64,115.35,73.63,39,48,5.28
tasiilaq,gl,65.73000000007966,-30.770000000135724,65.61,-37.64,24.8,79,92,31.09
longyearbyen,sj,84.78000000008942,17.66999999982022,78.22,15.64,17.6,85,90,41.38
ushuaia,ar,-67.86999999998868,-41.85000000012565,-54.81,-68.31,41,65,90,19.46
punta arenas,cl,-58.28999999998378,-95.05000000007726,-53.16,-70.91,50.11,57,20,38.03
new norfolk,au,-60.199999999984755,135.91999999971267,-42.78,147.06,51.62,93,40,2.24
katsuura,jp,23.86000000005825,151.5099999996985,33.93,134.5,51.42,87,90,5.82
maragogi,br,-13.099999999960659,-28.75000000013756,-9.01,-35.22,86.84,73,56,10.87
catuday,ph,17.420000000054955,115.78999999973098,16.29,119.81,78.38,92,0,6.4
port alfred,za,-87.41999999999868,45.7299999997947,-33.59,26.89,73.06,93,12,1.99
